Start Date,Respondent ID,IP Address,In what country do you work?,What is your age?,How long (in years) have you been in information technology or security?,,What is the highest level of formal education you have completed?,What is your gender identity?,,Do you currently have (or have had) industry certifications?,"If you do have certifications, which one do you value most?","If you do have certifications, which one do you value least?",What was your first job title in information technology or security?,What is your current job title in information technology or security?,Current Job Cleaned,Which of the following best describes the principal industry of your current organization?,,"Do you call it ""Cybersecurity"" or ""Information Security""","Are you currently or formerly employed by a Government, Military, or Defense Industrial Base (DIB) organization (or are you in a role that primarily supports one of those entities)?",Do you consider your role to be highly technical?,"On a scale of 1-10, how do you rate your coding or development skills?",What role in information security or cybersecurity do you believe is the new hotness?
4/1/21 21:48,12543319293,103.151.156.177,India,25 to 34,01-5,,Graduated from College/University,Man,,Yes,I had only one Certification of CEH,CEH,Junior Security Engineer,Junior Security Engineer,Enterprise Cloud Architect,MSSP,,Cybersecurity (cyber),No,Yes,2,Purple Team
4/1/21 21:29,12543303072,96.253.22.172,United States of America,35 to 44,21-40,,Graduated from College/University,Man,,Yes,Certified Kubernetes Administrator/Security/Developer  (Insert Cloud Provider) Cloud Architect,HCISPP,Technician,Director of IT Infrastructure and Security,Expert Cyber Security,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,6,Machine Learning for detecting anomalies. There's just too many packets for us humans to keep up with.
4/1/21 21:23,12543291252,73.180.125.73,United States of America,45 to 54,21-40,,Some College/University,Man,,Yes,GCDA,Sec+,Analyst,Security Engineer,Fed Director of Data Analytics,Manufacturing,,Information Security (infosec),Yes,Yes,6,"Anything ""cloud"" related is the new marketing hotness according to my inbox."
4/1/21 21:24,12543289325,24.77.100.37,Canada,25 to 34,06-10,,Graduated from College/University,Man,,No,,,Help Desk,Endpoint Security Specialist,Field Engineering Manager,Insurance,,I use both terms depending on audience I am talking to,No,No,7,Cloud security
4/1/21 21:15,12543280567,174.227.134.229,United States of America,35 to 44,11-20,,Graduated from College/University,Man,,No,,,Computer Systems Operator (CSO),Director of Threat Intelligence ,Forensic Analyst,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Jupyter notebooks
4/1/21 18:44,12543265619,84.237.179.80,Latvia,35 to 44,11-20,,Doctorate,Man,,Yes,"OSCP (not that I would value it the most out of all the certs I could get, but I don't have many certifications)",CEH,Programmer,Security Architect,Forensic Examiner and Program Coordinator,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,9,DFIR is becoming more and more relevant for more organizations
4/1/21 20:55,12543256513,24.105.65.54,Canada,35 to 44,01-5,,Completed graduate school,Man,,No,,,IT/OT security engineer,Senior IT/OT Security Analyst,Forensic scientist,Food & Beverages,,Cybersecurity (cyber),No,Yes,9,IT/OT Security
4/1/21 20:53,12543255122,76.250.151.169,United States of America,35 to 44,06-10,,Completed graduate school,Man,,Yes,CISSP,A+,Cyber investigator,Consultant,Founder / CEO / Partner,Other (please specify),Infosec,Cybersecurity (cyber),Yes,Yes,7,Consulting
4/1/21 20:50,12543249611,209.6.132.199,United States of America,35 to 44,11-20,,Graduated from College/University,Man,,Yes,None,All,Analyst ,Manager of professional services (DFIR),global security architect,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,8,
4/1/21 20:38,12543240213,201.92.137.22,Brazil,25 to 34,01-5,,Graduated from College/University,Man,,Yes,Splunk Enterprise Admin,,Service Desk Analyst at IBM,Sales Engineer,Global Security Architect,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 20:39,12543236025,184.103.113.94,United States of America,25 to 34,06-10,,Some graduate school,Man,,Yes,"CISSP, Sec+, CEH, CNDA",CNDA,IT Analyst,"Security Architect, Data Science",Global Security Architect,Finance & Financial Services,,I use both terms depending on audience I am talking to,Yes,Yes,6,AI
4/1/21 20:36,12543231652,66.219.217.161,United States of America,25 to 34,11-20,,Completed graduate school,Man,,Yes,None,Security+,IT Support,Founder / CEO / Partner,Global Security Strategist Manager,Other (please specify),Consulting,I use both terms depending on audience I am talking to,Yes,No,7,Security Data Scientist
4/1/21 20:32,12543226837,100.15.57.178,United States of America,45 to 54,11-20,,Completed graduate school,Man,,Yes,,,Forensic Analyst,CISO,Head of big data and security analytics,Other (please specify),Legal services,Information Security (infosec),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Business-line Information Security Officers that are embedded within business units as opposed to sitting in a detached security group.
4/1/21 20:30,12543226112,71.245.173.105,United States of America,35 to 44,06-10,,Completed graduate school,Man,,Yes,,CISSP,Security Analyst,Security Solutions Architect,Head of Cyber Security,Government,,I use both terms depending on audience I am talking to,No,Yes,7,Threat Intel Analyst
4/1/21 20:20,12543219628,173.67.206.2,United States of America,35 to 44,11-20,,Graduated from College/University,Man,,Yes,GPEN,CISSP,Information Systems Security Officer,Chief Security Officer,Head of Cybersecurity Research,Government,,I use both terms depending on audience I am talking to,Yes,No,3,Cloud Security Architect 
4/1/21 20:25,12543218469,50.71.0.79,Canada,25 to 34,06-10,,Graduated from College/University,Man,,Yes,CCNA,Cissp,Security operations analyst,Data security coordinator,Head of Innovation in Security,Education,,Information Security (infosec),No,No,6,User education and communication 
4/1/21 20:24,12543217705,98.110.117.160,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,Yes,GCFE,GCFE,Enterprise Security Consultant,"Manager, Cyber Security Incident  Management ",Head of IT,Manufacturing,,I use both terms depending on audience I am talking to,No,Yes,4,Incident Management 
4/1/21 20:22,12543213551,174.239.2.96,,18 to 24,01-5,,Some College/University,Man,,Yes,"Security+, Aws Ccp",,Help desk,Network administrator ,Head of Red Team,Food & Beverages,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Pen testing, red team"
4/1/21 20:20,12543209644,73.14.101.25,United States of America,45 to 54,Other (please specify),OT cyber,,Woman,,No,,,Product manager ,Chief Product Security Engineer,Head of risk,Manufacturing,,Cybersecurity (cyber),No,No,I do not believe I have any coding/development skills at all,IOT product security
4/1/21 20:14,12543202939,70.39.126.140,United States of America,35 to 44,01-5,,Some College/University,Man,,No,,,Cyber Threat Analayst,Lead Cyber Threat Analyst,Head of sec ops,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,6,ZeroTrust
4/1/21 20:14,12543202279,85.255.232.115,United Kingdom of Great Britain and Northern Ireland,<18,01-5,,Graduated from high school,Woman,,Yes,Only have 1 - GCFE,,"Student, not working",,Head of soc ,I am currently not employed,,I use both terms depending on audience I am talking to,No,No,6,
4/1/21 20:05,12543195461,140.186.255.73,United States of America,45 to 54,01-5,,Associates Degree,Man,,Yes,Gcfa,I value all of them,IT Security Administrator,IT Security Administrator,Head of Strategic Cyber Threat Intelligence,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,6,Cyber Janitor 
4/1/21 20:07,12543192839,172.74.70.230,United States of America,25 to 34,06-10,,Military technical training,Man,,Yes,CEH. ,A+,Technical Suppoet,"Manager, Client Technical Services",Head of Threat ,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,7,Solutions Architects. 
4/1/21 20:02,12543191992,172.193.155.96,Australia,35 to 44,11-20,,Graduated from College/University,Man,,Yes,All except CEH. ,CEH,Security Analyst,Security Architect,I dont know... i just have my name and i am against titles.,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"SecDevOps / Security Architect/Engineer. You build it (security), you own it - mantra. Security roles in CI/CD that Architect, build/implement and test (all from a security perspective) are the most in demand roles. Folks who have a grasp of one or more of the above I think"
4/1/21 20:02,12543188541,99.247.196.252,Canada,45 to 54,21-40,,Some graduate school,Man,,No,,,Programmer Analyst,Senior Systems Administrator,"I have many names, I most like Cyber Smoke-Jumper","Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,8,Cloud and End devices
4/1/21 19:59,12543182848,74.96.110.240,United States of America,55 to 64,21-40,,Graduated from College/University,Man,,Yes,Sans GIAC,,Programmer,Managing Director ,ICT advisor,"Utilities, Energy, and Extraction",,Cybersecurity (cyber),No,No,4,Cloud
4/1/21 19:57,12543180374,76.186.194.67,United States of America,35 to 44,11-20,,Completed graduate school,Man,,No,,,Application Security Consultant,"Senior Director, Managed Services",Incident Analyst ,Software Sales,,I use both terms depending on audience I am talking to,No,No,9,Cyber-Security Architect
4/1/21 19:56,12543180247,174.71.40.52,United States of America,25 to 34,01-5,,Graduated from College/University,Man,,No,,,Information Security Intern,Security Analyst,Incident handler,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,6,Anything dealing with cloud
4/1/21 19:55,12543176766,73.212.167.33,United States of America,35 to 44,11-20,,Completed graduate school,Man,,No,,,Consultant ,Senior director ,Incident manager,Other (please specify),Cyber security ,Cybersecurity (cyber),Yes,Yes,2,Incident response 
4/1/21 19:52,12543176385,63.225.107.208,United States of America,55 to 64,21-40,,Completed graduate school,Man,,No,,,Help desk technician,Director,Incident Responder,Finance & Financial Services,,Information Security (infosec),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Risk management
4/1/21 19:52,12543175710,217.155.19.171,United Kingdom of Great Britain and Northern Ireland,35 to 44,11-20,,Completed graduate school,Genderqueer or non-binary,,Yes,None of them,They’re all just paper,Startup owner,Security Architect,Incident Responder,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 19:50,12543174327,73.134.254.73,United States of America,35 to 44,11-20,,Completed graduate school,Man,,No,,,Senior Infosec Engineer/Scientist,ATT&CK Lead,Incident Response Analyst,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,Yes,Yes,7,Detection Engineer
4/1/21 19:47,12543173094,114.157.153.52,United States of America,45 to 54,11-20,,Graduated from College/University,Man,,Yes,CISSP,Vmware VCP,Analyst,Cyber Security Senior,Incident Response Consultant,Airlines & Aerospace (including Defense),,Cybersecurity (cyber),Yes,Yes,7,Threat Hunting
4/1/21 19:47,12543170809,69.127.75.220,United States of America,45 to 54,06-10,,Graduated from College/University,Man,,Yes,CISSP,MTA,Network Security Analyst,Looking for a job ,Incident Response Consultant ,Other (please specify),Looking for next role ,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Vendors deploying the CyberSecurity solutions.  
4/1/21 19:42,12543163120,47.184.97.214,United States of America,25 to 34,06-10,,Graduated from College/University,Man,,Yes,GCIA,CEH,Information Security Analyst,Cyber Defense Operations Manager,Incident Response Consultant ,Manufacturing,,Cybersecurity (cyber),No,Yes,6,Red Team
4/1/21 19:25,12543158259,166.137.19.15,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,CISSP  GCFA  GASF,ACE,Telecommunications Specialist,Senior Forensic Examiner and Program Coordinator,Incident Response Manager,Government,,Cybersecurity (cyber),Yes,Yes,3,"Network and Mobile Forensics. Dead box, not so much anymore. "
4/1/21 19:36,12543154917,174.206.67.223,United States of America,45 to 54,21-40,,Associates Degree,Man,,Yes,,,Mainframe backup operator,Compliance Solutions Engineer ,Incident Response Manager,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,3,
4/1/21 19:37,12543154809,72.179.147.137,United States of America,25 to 34,06-10,,Some College/University,Man,,Yes,GIAC GCDA,CompTIA A+,"Intern -> ""Global Response Engineer""",Security Operations Architect,incident response specialist,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,8,DevSecOps and related work to bring security to the application development teams.
4/1/21 19:33,12543152506,173.3.32.83,United States of America,25 to 34,11-20,,Graduated from College/University,Man,,Yes,,,Network Operations Specialist Intern  (First FTE - Computer Systems Security Analyst Associate),"VP/CTO, Cyber Security",Information security analyst,Entertainment & Leisure,,I use both terms depending on audience I am talking to,Yes,Yes,8,"AI/ML/Data Science seems to be the visible new hotness, although I'm completely unconvinced it's actually delivering anywhere near the alleged value."
4/1/21 19:24,12543141628,172.2.141.191,United States of America,35 to 44,11-20,,Graduated from College/University,Man,,Yes,GIAC,"CISSP, but only because I’ve never had a job that required it. ",Desktop Support Specialist. ,Principle Security Engineer ,Information security analyst,Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,7,"The basics. All the new hotness is magic bullets that never work. Consistent application of basic Security concepts (least privilege, defense in depth, default deny, maintain vendor patches, etc. )"
4/1/21 19:25,12543137217,182.253.245.124,Indonesia,25 to 34,06-10,,Some College/University,Man,,No,,,Android app developer,Devops engineer,Information Security Analyst,Retail & Consumer Durables,,Information Security (infosec),No,Yes,7,Pentester
4/1/21 19:15,12543129172,209.107.177.73,United States of America,35 to 44,11-20,,Graduated from College/University,Man,,Yes,None of them really mattered,CEH,System Administrator,Lead Web Application Pentest,Information Security Analyst,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),Yes,Yes,7,Full time security researcher
4/1/21 19:15,12543128108,101.182.39.67,Australia,35 to 44,11-20,,Graduated from College/University,Man,,No,GCFA,Splunk Core User,Junior Unix SysAdmin,Principal Security Engineer,Information security analyst ,Advertising & Marketing,,I use both terms depending on audience I am talking to,No,Yes,7,"Anything to do with Artificial Intelligence  Or “Threat Hunter”, which has been a role/focus for a while but seems to be getting marketed around (including in services/products)"
4/1/21 19:11,12543120997,47.134.48.129,United States of America,45 to 54,21-40,,Some graduate school,Man,,Yes,CASP,none,Computer Specialist ,Senior Systems Engineer ,Information security and risk engineer,Airlines & Aerospace (including Defense),,Cybersecurity (cyber),Yes,No,2,Cloud security 
4/1/21 19:13,12543120786,173.73.39.108,United States of America,35 to 44,11-20,,Graduated from College/University,Woman,,Yes,None,"All of them - they dont measure skill, they measure the ability to pass a test",Cyber Special Agent ,Director,Information Security Awareness and Education Coordinator,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Data Analytics/Machine Learning
4/1/21 19:13,12543120782,69.174.135.234,United States of America,25 to 34,01-5,,Graduated from College/University,Man,,No,,,Information Security Risk Analyst,Sr. Information Security Risk Analyst,Information Security Engineer,"Utilities, Energy, and Extraction",,I use both terms depending on audience I am talking to,No,No,2,
4/1/21 19:11,12543117494,67.247.5.150,United States of America,35 to 44,01-5,,Graduated from College/University,Woman,,No,,,project management in cyber security,SOC analyst ,Information Security Engineer,Entertainment & Leisure,,Cybersecurity (cyber),No,Yes,6,cloud security engineer
4/1/21 19:09,12543116191,76.230.153.98,United States of America,25 to 34,11-20,,Some graduate school,Man,,Yes,,,,,Information Security Engineer,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),Yes,Yes,I do not believe I have any coding/development skills at all,Devsecops
4/1/21 19:03,12543109256,71.244.169.167,United States of America,25 to 34,01-5,,Some College/University,Man,,Yes,JCAC! Private sector: SEC+ for now aiming for CySA and CISSP before I leave the mil,Value them all,Military. Analyst ,Digital network analyst.,Information Security Engineer / Consultant ,Government,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Anything involving sales for AI/ML in current state (too early)
4/1/21 18:26,12543093448,68.41.66.140,United States of America,25 to 34,06-10,,Associates Degree,Man,,Yes,CySA+,Security+,Help desk technician,Information security analyst,Information Security Forensic Analyst,Nonprofit,,Information Security (infosec),No,Yes,4,Cloud security architect
4/1/21 18:04,12543078242,76.185.11.76,United States of America,25 to 34,01-5,,Completed graduate school,Man,,No,,,Systems Analyst,Security Engineer,Information Security Manager,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,8,"Supply Chain (not so new, but still making waves) "
4/1/21 18:40,12543073364,142.179.238.197,Canada,45 to 54,01-5,,Graduated from College/University,Man,,Yes,GCFE,CISSP,Analyst,Cyber Security Specialist,Information Security Manager,Agriculture,,I use both terms depending on audience I am talking to,No,Yes,3,Threat hunting 
4/1/21 18:36,12543067759,65.144.14.130,United States of America,25 to 34,01-5,,Graduated from College/University,Woman,,Yes,"Strange question, none. All the prove is I can take a paid for exam and pass. You see people write “how to pass Sec+ with no experience” or “how to pass Sec+ in 1  Week”",All of them. ,Hardware Intern,Systems Administrator,Information Security Manager,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,6,"Hacking, pen testing, red team anything where the ******** can say “all you have to do is this!” "
4/1/21 18:31,12543067506,71.33.145.128,United States of America,35 to 44,21-40,,Some College/University,Man,,Yes,CISSP,CEH,Linux Administrator,Information Security Manager,Information Security Manager ,Finance & Financial Services,,I use both terms depending on audience I am talking to,Yes,Yes,8,"Compliance is coming into higher demand recently with gdpr, ccpa and other regions passing their own set of data governance requirements. Besides compliance, it is still incredibly hard to find talented Application Security Engineers who know how to sling code and find code vulnerabilities at the same time. Finding one is like finding a multicolor unicorn in the wild. Many applicants will claim to be competent but then crumble when presented code on a white board and asked to rewrite it to be secure (still on a whiteboard, not in a IDE). "
4/1/21 18:34,12543062804,173.174.199.24,United States of America,55 to 64,21-40,,Completed graduate school,Man,,Yes,CISSP,Security +,Software developer,Operations Security Engineer ,Information Security Officer,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),Yes,Yes,3,Not interested in trends so I can’t say. 
4/1/21 18:33,12543062206,76.195.236.143,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,Yes,ISACA  ISC2,CEH,Lan Administrator,Security Architect,Information Security Risk Analyst,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,3,Highly technical generalists that understand risk management as well. 
4/1/21 18:33,12543061475,67.84.104.47,United States of America,35 to 44,06-10,,Some graduate school,Woman,,Yes,"Gnfa , security+, sscp",Sscp,Sys admin,Security operations,Information Security Specialist,Finance & Financial Services,,Cybersecurity (cyber),Yes,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Cloud, cloud, cloud"
4/1/21 18:26,12543059757,108.241.52.148,United States of America,35 to 44,11-20,,Completed graduate school,Man,,No,Splunk Architect,Splunk User,Developer,Senior Customer Reliability Engineer,Information Systems Security Manager,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,9,Risk-Based Purple Team. Or Ryan Kovar.
4/1/21 18:27,12543055277,198.161.136.88,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,No,,,Computer Support  - 1991,VP technology & security,Information Technology Manager ,Other (please specify),Professional Services - technology consulting,I use both terms depending on audience I am talking to,No,Yes,I am an extremely competent coder/developer,Currently see value in honeypots on user machines
4/1/21 18:28,12543053223,75.23.200.237,United States of America,45 to 54,11-20,,Some graduate school,Man,,No,,,Software Developer,Senior Software Engineer,Infosec director,Software Sales,,Information Security (infosec),No,Yes,9,UX
4/1/21 18:29,12543053209,197.210.84.148,Nigeria,25 to 34,<1,,Graduated from College/University,Man,,No,,,,,Infosec Engineer,I am currently not employed,,Cybersecurity (cyber),No,Yes,I do not believe I have any coding/development skills at all,Ethical hacking
4/1/21 18:25,12543047171,86.5.38.93,United Kingdom of Great Britain and Northern Ireland,25 to 34,<1,,Graduated from College/University,Man,,Yes,OSCP,A+,Security Consultant,Security Consultant,infosec engineer,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,7,
4/1/21 18:21,12543045672,94.253.241.180,Croatia,18 to 24,01-5,,Some College/University,Man,,Yes,Oracle OCP,OCA,Junior backend developer,Backend developer,Infosec officer ,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,9,System isolation analyst
4/1/21 18:22,12543044635,67.243.211.94,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,Yes,none,all,system administrator,VP  of Customer Success,Infrastructure Architect - Cyber Lead,Finance & Financial Services,,Information Security (infosec),No,Yes,8,"there's always a new hotness, but understanding how the pieces fit together explicitly, implicitly, and non-existently is where the magic has been my entire career"
4/1/21 18:21,12543040664,98.169.81.97,United States of America,18 to 24,01-5,,Associates Degree,Woman,,Yes,"GCFA, GCIH, GSEC","ITIL, Sec+, CySA+, project+",Analyst,Cybersecurity engineer,Infrastructure Manager,Government,,Information Security (infosec),Yes,Yes,7,pentester roles
4/1/21 18:20,12543039236,108.31.148.105,United States of America,35 to 44,11-20,,Associates Degree,Man,,Yes,CISSP,CCSK,Message Center Operator,Sr. Professional Services Consultant,Intelligence Analyst,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Dev/Sec/Ops Security As Code, etc. "
4/1/21 18:18,12543037428,71.197.228.176,United States of America,45 to 54,21-40,,Completed graduate school,Woman,,No,,,Policy council,Assistant General Counsel,Intelligence Analyst,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,No,I do not believe I have any coding/development skills at all,"Data analysis, threat hunting, and regulatory compliance "
4/1/21 18:15,12543035951,176.83.47.215,Spain,45 to 54,21-40,,Graduated from College/University,Man,,Yes,"CISSP, SANS",None,Security consultant ,Head of Innovation in Security,Intelligence Analyst,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,4,Security automation 
4/1/21 18:10,12543026472,162.213.116.214,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,Cissp ,,It manager,Cio,intelligence researcher,Nonprofit,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 18:07,12543019593,176.26.31.2,United Kingdom of Great Britain and Northern Ireland,55 to 64,21-40,,Doctorate,Man,,Yes,CISM,,Programmer,Policy Manager,IR Consultant,Business Support & Logistics,,Information Security (infosec),Yes,No,4,Process Design - get this wrong and everyone is wasting their time
4/1/21 18:06,12543017878,88.91.10.248,Norway,45 to 54,11-20,,Completed graduate school,Man,,No,,,EHR advisor,ICT senior advisor,Is there an echo in here?,Healthcare & Pharmaceuticals,,Information Security (infosec),Yes,No,3,I dont know 
4/1/21 18:05,12543016871,151.199.255.86,United States of America,45 to 54,21-40,,Some graduate school,Woman,,Yes,CISSP CISM,CEH,Desktop support ,Cyber Security Manager,IT Director,Healthcare & Pharmaceuticals,,Cybersecurity (cyber),Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,DevSecOP
4/1/21 18:05,12543016612,70.106.250.175,United States of America,35 to 44,01-5,,Graduated from College/University,Man,,Yes,Security+,Azure fundamentals ,Cybersecurity analyst ,Incident Analyst ,It manager,Education,,Cybersecurity (cyber),Yes,No,I do not believe I have any coding/development skills at all,DevSecOps 
4/1/21 18:02,12543011725,173.34.152.78,Canada,25 to 34,06-10,,Completed graduate school,Man,,Yes,GREM ,GSEC,Systems Administrator,Consultant,IT manager ,,,Cybersecurity (cyber),No,Yes,6,
4/1/21 18:03,12543010599,198.252.153.109,United States of America,35 to 44,<1,,Some College/University,Genderqueer or non-binary,,No,,,,,IT Manager - Threats & Response,I am currently not employed,,I use both terms depending on audience I am talking to,No,No,4,
4/1/21 18:01,12543005985,99.251.124.75,Canada,35 to 44,01-5,,Graduated from College/University,Woman,,Yes,CISSP,Net+,Security Analyst,Professional Services Engineer,IT Risk & Compliance Analyst 2,MSSP,,Information Security (infosec),No,Yes,2,CLOUD
4/1/21 17:57,12543005515,98.227.175.63,United States of America,35 to 44,11-20,,Some College/University,Man,,Yes,GCIH,A+,Technician,Security Analyst,IT Security Administrator,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,7,AI engineer
4/1/21 18:00,12543005398,82.14.32.20,United Kingdom of Great Britain and Northern Ireland,45 to 54,21-40,,Doctorate,Woman,,No,,,,,IT Security Manager ,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,,,
4/1/21 17:55,12543004610,49.181.171.165,Australia,55 to 64,06-10,,Some College/University,Man,,Yes,Gcfa,"early citrix virtual system ones, answers were on the internet",technical services associate (design/roll-out AV infrastructure),manager cyber operations,IT Specialist,Education,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"I'm in incident response, so IR"
4/1/21 17:55,12543004284,67.184.112.184,United States of America,25 to 34,01-5,,Graduated from high school,Man,,Yes,neither the GSEC nor GCIH are particularly relevant for CTI,,Jr Analyst - SOC,Analyst - CTI,IT/OT Security Analyst,Other (please specify),Hospitality,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Supply chain intelligence 
4/1/21 17:54,12543003694,94.198.42.237,United States of America,55 to 64,21-40,,Some graduate school,Woman,,No,,,Software Engineer,Sr. Cybersecurity Consultant,Junior Security Engineer,Airlines & Aerospace (including Defense),,Cybersecurity (cyber),Yes,Yes,9,
4/1/21 17:50,12542999206,72.83.67.143,United States of America,35 to 44,11-20,,Graduated from high school,"Not specified above, please specify",Not relevant,No,,,System Administrator,Consultant,"Lead, Threat Intelligence ","Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Working with red teams to understand the gaps in collection, detection, and response."
4/1/21 17:55,12542998261,174.246.195.233,United States of America,25 to 34,01-5,,Associates Degree,Woman,,No,,,SOC Analyst,Director of Sec Ops,Looking for a job ,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Pentester
4/1/21 17:55,12542997728,73.162.103.195,United States of America,45 to 54,21-40,,Completed graduate school,Woman,,Yes,SANS,Scrum Master,Service Desk agent,Senior Project Manager,Malware Reverse Engineer,Healthcare & Pharmaceuticals,,Information Security (infosec),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,
4/1/21 17:55,12542996550,82.132.245.29,United Kingdom of Great Britain and Northern Ireland,45 to 54,<1,,Graduated from high school,Man,,No,,,Na,Na,MalwareRE,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,No,I do not believe I have any coding/development skills at all,
4/1/21 17:54,12542996542,69.23.36.124,United States of America,45 to 54,11-20,,Some graduate school,Man,,Yes,CISSP,"None, honestly. ",Sysadmin,CISO,Manager,Government,,Cybersecurity (cyber),Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"Cloud security architect. That, or AI architect"
4/1/21 17:55,12542995739,107.115.17.124,United States of America,35 to 44,06-10,,Doctorate,Genderqueer or non-binary,,No,,,,,Manager,Other (please specify),Legal,I use both terms depending on audience I am talking to,,Yes,6,
4/1/21 17:53,12542995545,71.194.22.113,United States of America,35 to 44,21-40,,Graduated from College/University,Woman,,Yes,GREM,Security+,Developer,Senior DFIR,Manager,MSSP,,I use both terms depending on audience I am talking to,Yes,Yes,4,ICS
4/1/21 17:53,12542993763,212.51.156.185,Switzerland,35 to 44,01-5,,Doctorate,Man,,No,,,Senior Software Engineer,Senior Software Engineer,Manager,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,I am an extremely competent coder/developer,
